time,project,user,type,url,title,body,assigned,branch,branch_link,wrong_merge_commit,add,del,hash,merged_in_master,is_merge_commit,commit_files,commit_java_files,added_chars,deleted_chars,commit,comment,issue,merge_words,bugfix_words,refac_words,message_length,add_minus_del,total_contrib,total_contrib_pos
2016-08-11 20:23:58,mochadoom,Matias Haeussler,commit,http://tinyurl.com/gqpfbvf,,Merge branch 'master' into Matias,,mochadoom/Matias,http://tinyurl.com/hhj26we,True,641,478,9db37299ea5e973df754b849a63dad924e01de4a,False,True,10,9,6999,4219,1,0,0,1,0,0,33,2780,2786.6,2786.6
2016-08-11 20:20:31,mochadoom,Matias Haeussler,commit,http://tinyurl.com/j37b36q,,Nothing,,mochadoom/Matias,http://tinyurl.com/hhj26we,False,2,1,1b4a76b5b8e6a85be17b4bd8868a4eb03bd14974,False,False,2,0,0,0,1,0,0,0,0,0,7,0,0.0,1.4
2016-08-11 17:10:03,jswingripples,Francisco Clavero,commit,http://tinyurl.com/htblw6n,,Merge branch 'master' of https://github.com/jSwingRipples/jswingripples,,jswingripples/master,http://tinyurl.com/gmjw6zq,False,1,0,8abad448e9b0f4ceaa9a9a53f9867c364d08c68e,True,True,1,1,75,0,1,0,0,1,0,0,71,75,89.2,89.2
2016-08-11 17:09:55,jswingripples,Francisco Clavero,commit,http://tinyurl.com/goko3jy,,Fixed search errors,,jswingripples/master,http://tinyurl.com/gmjw6zq,False,12,5,2d742c95223042e6ee0336a19ee811be639266c6,True,False,2,2,292,61,1,0,0,0,0,0,19,231,234.8,234.8
2016-08-11 16:36:49,jswingripples,Manuel Olguin,commit,http://tinyurl.com/h3krumk,,fixed search error,,jswingripples/master,http://tinyurl.com/gmjw6zq,False,1,0,2081def0771f7bb43b1d45a2923de2eebb1b979d,True,False,1,1,75,0,1,0,0,0,1,0,18,75,78.6,78.6
2016-08-11 16:19:55,jswingripples,Manuel Olguin,commit,http://tinyurl.com/hkpnvnx,,fixed conflicts,,jswingripples/master,http://tinyurl.com/gmjw6zq,False,153,58,a9e1662b52ddbda8c9d2acac003de01e988ee423,True,False,12,12,5008,1813,1,0,0,1,1,0,15,3195,1055.3400000000001,3198.0
2016-08-11 16:08:05,jswingripples,Manuel Olguin,commit,http://tinyurl.com/hvuz2lk,,changed constant,,jswingripples/master,http://tinyurl.com/gmjw6zq,False,1,1,db40159654764fd5ed06133892b1a5c9d7963f9a,True,False,1,1,1,2,1,0,0,0,0,0,16,-1,2.2,3.2
2016-08-11 14:56:48,TeraCity,Francisco Pulgar,commit,http://tinyurl.com/j7ntxwt,,Merge pull request #49 from TeraCityCC4401/RU21_Consulta_Codigo      Add coloring to comments,,TeraCity/master,http://tinyurl.com/zzwbwhb,False,10,3,3601d9745dcb117935c330ce49febcd7ae2e59dc,True,True,1,1,428,41,1,0,0,1,0,0,93,387,405.6,405.6
2016-08-11 14:50:16,jswingripples,Manuel Olguin,commit,http://tinyurl.com/zbzt5su,,refactoring: class names to conform to java standards,,jswingripples/master,http://tinyurl.com/gmjw6zq,False,20,20,6e3a35a2c83da61c0e2d491b69e2cb6700ca4106,True,False,8,8,4019,3955,1,0,0,0,0,1,53,64,59.68,74.6
2016-08-11 14:50:03,logisim,Diego Madariaga,commit,http://tinyurl.com/hrex4sh,,Merge pull request #38 from IsmaelAlvarez/555_timer_IC      Sensibilidad al voltaje,,logisim/master,http://tinyurl.com/hawzczw,False,19,4,f5cf0c2fd7df4c8ca0b8566af833d631329db2f1,True,True,1,1,598,0,1,0,0,1,0,0,83,598,614.6,614.6
2016-08-11 14:47:47,logisim,Diego Madariaga,commit,http://tinyurl.com/jcxbhoo,,Sensibilidad al voltaje      Ahora el chip es sensible al voltaje; quemándose en caso de que sea necesario en el modo de ejecución.,,logisim/master,http://tinyurl.com/hawzczw,False,19,4,0dff92bbfe46718b255bb76fc062c7babae438a7,True,False,1,1,598,0,1,0,0,0,0,0,133,598,624.6,624.6
2016-08-11 14:43:42,jswingripples,Manuel Olguin,commit,http://tinyurl.com/jynr3v3,,"Merge commit '9f434c2f15ba014deea16297982ea93c3779446c'      Merge ""fix busy waiting"" from graph-dev-final into master.",,jswingripples/master,http://tinyurl.com/gmjw6zq,False,9,1,db168ae1b45cfead1d884701f251dd4fa0f64384,True,True,1,1,193,31,1,0,0,1,1,0,123,162,186.6,186.6
2016-08-11 14:38:53,jswingripples,Manuel Olguin,commit,http://tinyurl.com/jkj9z8e,,fixed conflicts,,jswingripples/master,http://tinyurl.com/gmjw6zq,False,381,12,c24b61b23a6d90b87270a1841b9d8878ab08195a,True,True,13,9,23229,47,1,0,0,1,1,0,15,23182,7651.05,23185.0
2016-08-11 14:07:46,jswingripples,Natalia Vidal,commit,http://tinyurl.com/j3lldr3,,Se cambió el color de las letras del nodo,,jswingripples/open_node3,http://tinyurl.com/zdf79a3,False,4,4,d33f62464c6571149f0e6eca71a013648e3b3aa4,True,False,3,3,130,1,1,0,0,0,0,0,42,129,137.4,137.4
2016-08-11 13:37:00,jswingripples,Cristian Guzman,commit,http://tinyurl.com/jrxgacn,,Small mistake corrected,,eclipsePlugin/master,http://tinyurl.com/gq9wpvw,False,2,1,d1ff68ea929fa92f9964a59ee38bcde46b7ff876,True,False,1,1,73,20,1,0,0,0,0,0,23,53,57.6,57.6
2016-08-11 13:09:34,logisim,Sergio Penafiel,commit,http://tinyurl.com/juem3wj,,Merge con input,,logisim/master,http://tinyurl.com/hawzczw,False,82,21,01f7c73fc95c9e2cd6a50b7bc349a548dede9a2d,True,True,3,3,2110,51,1,0,0,1,0,0,15,2059,2062.0,2062.0
2016-08-11 12:59:23,logisim,Sergio Penafiel,commit,http://tinyurl.com/huey3cu,,Changes,,logisim/master,http://tinyurl.com/hawzczw,False,2,2,df8735b37fc9b9d85d557da9614a0ebe602553d9,True,False,2,2,11,0,1,0,0,0,0,0,7,11,12.4,12.4
2016-08-11 12:58:35,logisim,Sergio Penafiel,commit,http://tinyurl.com/zs9kbqr,,fixing,,logisim/master,http://tinyurl.com/hawzczw,False,12,24,4e5c9eb96c92fa2c6b306f5645c04ea0a519ee45,True,True,1,1,279,635,1,0,0,0,1,0,6,-356,-354.8,1.2
2016-08-11 12:56:02,logisim,Sergio Penafiel,commit,http://tinyurl.com/hmjs2h2,,Minor change,,logisim/master,http://tinyurl.com/hawzczw,False,1,1,cfe4fa8ce160892366ea34f0e2c88a4ec2c51acc,True,False,1,1,14,0,1,0,0,0,0,0,12,14,16.4,16.4
