time,project,user,type,url,title,body,assigned,branch,branch_link,wrong_merge_commit,add,del,hash,merged_in_master,is_merge_commit,commit_files,commit_java_files,added_chars,deleted_chars,commit,comment,issue,merge_words,bugfix_words,refac_words,message_length,add_minus_del,total_contrib,total_contrib_pos
2016-04-27 17:22:50 -0300,mochadoom,Joaquin,commit,url/8ad78e46bc8c1309b3c00891ece32c05440a5061,,Cambiando firma de un metodo.,,mochadoom/branch,fake_url,,,,8ad78e46bc8c1309b3c00891ece32c05440a5061,True,False,1,1,47,41,1,0,0,0,0,0,29,6,11.8,11.8
2016-04-27 17:16:57 -0300,mochadoom,Joaquin,commit,url/adbd72b8cc82449e207364ec2936c057d669637f,,Se agregaron los zombies con sus colores sin sprite. Además de su velocidad.,,mochadoom/branch,fake_url,,,,adbd72b8cc82449e207364ec2936c057d669637f,True,False,4,4,6990,5098,1,0,0,0,0,0,77,1892,1907.4,1907.4
2016-04-26 13:24:05 -0300,mochadoom,nicolasjara,commit,url/3faa362643f1d5bc90d3b7740dc33e6f56e903a3,,commit test 1,,mochadoom/branch,fake_url,,,,3faa362643f1d5bc90d3b7740dc33e6f56e903a3,True,False,1,1,20,0,1,0,0,0,0,0,13,20,22.6,22.6
2016-04-26 13:00:45 -0300,mochadoom,Joaquin,commit,url/262842b7979fa94ff8f88fd95cfb4de01dce972d,,Creación de los tipos de zombie.,,mochadoom/branch,fake_url,,,,262842b7979fa94ff8f88fd95cfb4de01dce972d,True,False,4,4,5106,0,1,0,0,0,0,0,33,5106,5112.6,5112.6
2016-04-23 20:08:32 -0300,mochadoom,Fabián Souto,commit,url/c6a3b061be394cc0d608859c5d4fec87e466b009,,RESUELTO: El cansancio y el tiempo de espera para comenzar a descansar dependen del nivel de dificultad del juego.,,mochadoom/branch,fake_url,,,,c6a3b061be394cc0d608859c5d4fec87e466b009,True,False,3,2,209,35,1,0,0,0,0,0,114,174,196.8,196.8
2016-04-23 19:37:30 -0300,mochadoom,Fabián Souto,commit,url/dbb7af74c2be1f0e2258ae8f7f808caa88c79e14,,Se quitaron unos print.,,mochadoom/branch,fake_url,,,,dbb7af74c2be1f0e2258ae8f7f808caa88c79e14,True,False,1,1,0,188,1,0,0,0,0,0,23,-188,-183.4,4.6
2016-04-23 19:35:46 -0300,mochadoom,Fabián Souto,commit,url/0ec64b77f2c22b2ba31f97eecf523b3388f6c940,,Se quitó el getGameSkill() del main     no era necesario. El status del game se les pasa a los players a través de updateStatus. El skill lo tiene DoomStatus. En updatestatus(DoomStatus DS) se setea el skill para ue el jugador lo sepa.,,mochadoom/branch,fake_url,,,,0ec64b77f2c22b2ba31f97eecf523b3388f6c940,True,False,3,2,313,158,1,0,0,0,0,0,237,155,202.4,202.4
2016-04-23 19:10:34 -0300,mochadoom,Fabián Souto,commit,url/c247459d1eae1d4463966df18b37ed05344a4bbc,,Se agregaron los setters para waitTired y maxTired de acuerdo al nivel de dificultad.,,mochadoom/branch,fake_url,,,,c247459d1eae1d4463966df18b37ed05344a4bbc,True,False,1,1,1063,84,1,0,0,0,0,0,85,979,996.0,996.0
2016-04-23 19:00:48 -0300,mochadoom,Fabián Souto,commit,url/f1f9cea7dac203317da80081c548958bcbc1d3ab,,Se agregó un método para setear el skill del juego en el player. setGameSkill().,,mochadoom/branch,fake_url,,,,f1f9cea7dac203317da80081c548958bcbc1d3ab,True,False,1,1,337,68,1,0,0,0,0,0,82,269,285.4,285.4
2016-04-23 18:46:13 -0300,mochadoom,Fabián Souto,commit,url/4479bf65100ae34fe3c9103493a4a3227e1fdb54,,Se agregó un método en main que retorna el nivel de dificultad del juego (o también llamado skill).,,mochadoom/branch,fake_url,,,,4479bf65100ae34fe3c9103493a4a3227e1fdb54,True,False,2,2,210,0,1,0,0,0,0,0,102,210,230.4,230.4
2016-04-21 22:14:15 -0300,mochadoom,Fabián Souto,commit,url/550dbedc2b84365aa3af3b18899ac636d4b1909a,,Resuelta la issue 12: Ahora el jugador corre por un tiempo limitado     se cansa y debe esperar un rato para volver a correr.,,mochadoom/branch,fake_url,,,,550dbedc2b84365aa3af3b18899ac636d4b1909a,True,False,3,2,1970,0,1,0,0,0,0,0,125,1970,1995.0,1995.0
2016-04-20 17:37:54 -0300,mochadoom,Fabián Souto,commit,url/0b055e5fb937930efffa8ce414de5e9621cff3b6,,Founded the variable that manage how fast runs the player: PLAYERTHRUST,,mochadoom/branch,fake_url,,,,0b055e5fb937930efffa8ce414de5e9621cff3b6,True,False,2,1,66,16,1,0,0,0,0,0,71,50,64.2,64.2
2016-04-20 17:20:13 -0300,mochadoom,Fabián Souto,commit,url/c2393e7d0b544dc486ce4cf3e76adb41c85bad3e,,Added documentation in the player class     above the method that allow to move the player in the game.,,mochadoom/branch,fake_url,,,,c2393e7d0b544dc486ce4cf3e76adb41c85bad3e,True,False,5,1,51,0,1,0,0,0,0,0,103,51,71.6,71.6
2016-04-20 16:50:59 -0300,mochadoom,Joaquin,commit,url/0a20071e44d10e4fdeedd518857245b1d2b0e9b1,,My first commit.,,mochadoom/branch,fake_url,,,,0a20071e44d10e4fdeedd518857245b1d2b0e9b1,True,False,1,0,0,0,1,0,0,0,0,0,16,0,3.2,3.2
2016-04-27 12:28:04 -0300,TeraCity,francosep,commit,url/14d05b6deaed4292d057d7d670fb9581f32b7cb8,,Cambios de prueba,,TeraCity/branch,fake_url,,,,14d05b6deaed4292d057d7d670fb9581f32b7cb8,True,False,1,1,0,55,1,0,0,0,0,0,17,-55,-51.6,3.4
2016-04-26 13:21:26 -0300,TeraCity,Bastian Ermann,commit,url/4bc044ef0208cab166eb3a9973e554462b800d90,,Add functionality to add bookmarks on gui,,TeraCity/branch,fake_url,,,,4bc044ef0208cab166eb3a9973e554462b800d90,True,False,6,4,2007,52,1,0,0,0,0,0,41,1955,1963.2,1963.2
2016-04-26 12:57:18 -0300,TeraCity,francosep,commit,url/1c53717fcbce9f03f218c9278218e75927c75903,,Primeros cambios,,TeraCity/branch,fake_url,,,,1c53717fcbce9f03f218c9278218e75927c75903,True,False,1,1,116,5,1,0,0,0,0,0,16,111,114.2,114.2
